タイトル,タイトルURL,タイトル2,タイトル3,タイトル4,タイトル5,タイトル6,価格8,概要,概要9,タイトル10,日時,タイトル11,タイトル12,最低価格,評価スコア,予約時間（分）,評価ランク
加賀五彩の宿　花明かり,https://www.jalan.net/yad366510/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=366510&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y366510/Y366510045.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y366510/Y366510046.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y366510/Y366510034.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y366510/Y366510030.jpg,"1名 8,400円～",,,,,【アクセス】,金沢駅より徒歩10分。無料駐車場100メートル（台数制限あり）。満車時はコインPをご利用ください。,8400.0,,,D（一般以下）
金沢駅前ホテル,https://www.jalan.net/yad374460/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=374460&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y374460/Y374460331.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y374460/Y374460336.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y374460/Y374460065.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y374460/Y374460073.jpg,"1名 3,550円～",,,,11時間前に予約されました,【アクセス】,石川県金沢市此花町2-24/金沢駅徒歩3分。21世紀美術館や兼六園まで周遊バス1本。,3550.0,,,D（一般以下）
星空の降りそそぐ宿　金沢湯涌温泉  あたらしや,https://www.jalan.net/yad303610/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=303610&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y303610/Y303610442.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y303610/Y303610425.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y303610/Y303610430.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y303610/Y303610429.jpg,"1名 13,000円～",4.0,6件,接客、清潔感、朝食高評価,10時間前に予約されました,【アクセス】,北鉄バス湯涌温泉行にて終点下車、徒歩すぐ金沢湯涌江戸村の前です。金沢21世紀美術館より約20分。,13000.0,4.0,,C（普通）
マイグレ兼六園,https://www.jalan.net/yad327792/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=327792&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y327792/Y327792021.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y327792/Y327792007.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y327792/Y327792029.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y327792/Y327792024.jpg,"1名 8,410円～",,,,,【アクセス】,最寄り駅　金沢駅　バスで20分  &#8203;&#8203;  兼六園下・金沢城バス停から徒歩3分,8410.0,,,D（一般以下）
Tabist ビジネスホテルRサイド 金沢,https://www.jalan.net/yad353572/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=353572&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y353572/Y353572047.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353572/Y353572051.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353572/Y353572059.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353572/Y353572045.jpg,"1名 3,752円～",4.3,8件,接客、清潔感高評価,2時間前に予約されました,【アクセス】,JR金沢駅東口より徒歩5分　ルートインホテル金沢駅前様 隣,3752.0,4.3,,B（良好）
ダイアパレス大手門,https://www.jalan.net/yad394718/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=394718&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y394718/Y394718233.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y394718/Y394718242.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y394718/Y394718187.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y394718/Y394718249.jpg,"1名 5,125円～",,,,,【アクセス】,チェックインは金沢駅前ホテルにて受付けております。詳細は076-224-7177までお電話ください。,5125.0,,,D（一般以下）
金澤町家　いぬい庵,https://www.jalan.net/yad395202/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=395202&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y395202/Y395202047.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y395202/Y395202049.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y395202/Y395202048.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y395202/Y395202039.jpg,"1名 13,500円～",,,,,【アクセス】,JR金沢駅東口より 路線バス３分「三社」バス停下車＋徒歩３分,13500.0,,,D（一般以下）
旅館　からさわ,https://www.jalan.net/yad305048/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=305048&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y305048/Y305048149.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y305048/Y305048142.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y305048/Y305048138.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y305048/Y305048129.jpg,"1名 10,200円～",,,,,【アクセス】,金沢駅西口から、車で10分,10200.0,,,D（一般以下）
ＩＮＯＶＡ金沢駅前ホテルｓｕｉｔｅ,https://www.jalan.net/yad335336/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=335336&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y335336/Y335336022.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y335336/Y335336002.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y335336/Y335336064.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y335336/Y335336049.jpg,"1名 6,750円～",,,,,【アクセス】,金沢駅から徒歩１０分,6750.0,,,D（一般以下）
アパホテル〈金沢片町〉EXCELLENT,https://www.jalan.net/yad346894/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=346894&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y346894/Y346894Ac3.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y346894/Y346894Ad8.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y346894/Y346894Aa9.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y346894/Y346894Ad4.jpg,"1名 4,590円～",3.9,730件,部屋高評価,22時間前に予約されました,【アクセス】,「金沢駅」からバスで約10分（「片町」バス停下車、徒歩2分) 北陸自動車道「金沢西ＩＣ」から車で約10分,4590.0,3.9,,D（一般以下）
河北亭,https://www.jalan.net/yad318022/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=318022&callbackHistFlg=1,石川県 > 羽咋・かほく,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y318022/Y318022029.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318022/Y318022014.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318022/Y318022030.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318022/Y318022008.jpg,"1名 6,500円～",,,,7時間前に予約されました,【アクセス】,のと里山海道高松ICより車４分、ＪＲ七尾線高松駅より徒歩８分,6500.0,,,D（一般以下）
ＮＯＤＥ犀川,https://www.jalan.net/yad397573/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=397573&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y3/Y397573/Y397573019.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y397573/Y397573016.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y397573/Y397573014.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y397573/Y397573020.jpg,"1名 9,900円～",,,,,【アクセス】,金沢駅よりタクシーで約10分,9900.0,,,D（一般以下）
能登柴垣海岸はるこ,https://www.jalan.net/yad355045/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=355045&callbackHistFlg=1,石川県 > 羽咋・かほく,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y355045/Y355045097.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355045/Y355045110.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355045/Y355045018.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355045/Y355045026.jpg,"1名 7,065円～",,,,,【アクセス】,のと里山海道　柳田ICから車で５分,7065.0,,,D（一般以下）
Ｋａｎａｍｅ　Ｉｎｎ　Ｔａｔｅｍａｃｈｉ,https://www.jalan.net/yad375496/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=375496&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y375496/Y375496631.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y375496/Y375496425.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y375496/Y375496485.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y375496/Y375496632.jpg,"1名 4,000円～",,,,,【アクセス】,ＪＲ金沢駅からバスで10分。香林坊バス停下車後、タテマチ方面へ徒歩6分。,4000.0,,,D（一般以下）
眠音ホテル,https://www.jalan.net/yad336240/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=336240&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y336240/Y336240310.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y336240/Y336240283.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y336240/Y336240305.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y336240/Y336240037.jpg,"1名 6,500円～",,,,,【アクセス】,石川県金沢市笠市町10-6：金沢駅徒歩8分、21世紀美術館や兼六園までもバス1本,6500.0,,,D（一般以下）
四季の彩アパートメントホテル金沢,https://www.jalan.net/yad365726/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=365726&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y365726/Y365726113.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y365726/Y365726103.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y365726/Y365726106.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y365726/Y365726005.jpg,"1名 6,160円～",,,,,【アクセス】,金沢駅より徒歩約８分、お買い物、観光にもアクセス便利な好立地！,6160.0,,,D（一般以下）
Ｔｅｎｇｕ旅音，Ｃｏｔｅｎｇｕ旅音,https://www.jalan.net/yad385159/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=385159&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y385159/Y385159011.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y385159/Y385159009.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y385159/Y385159032.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y385159/Y385159029.jpg,"1名 7,000円～",,,,,【アクセス】,金沢駅からバスで１５分。最寄りのバス停「片町」からは徒歩５分。,7000.0,,,D（一般以下）
グリーンホテル西館,https://www.jalan.net/yad339078/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=339078&callbackHistFlg=1,石川県 > 羽咋・かほく,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y339078/Y339078059.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y339078/Y339078136.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y339078/Y339078134.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y339078/Y339078131.jpg,"1名 4,200円～",,,,21時間前に予約されました,【アクセス】,JR羽咋駅より徒歩3分/のと里山街道千里浜ICより約4分 ,4200.0,,,D（一般以下）
ＳＡＲＡＲＡＳＯ,https://www.jalan.net/yad312510/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=312510&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y312510/Y312510095.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y312510/Y312510093.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y312510/Y312510096.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y312510/Y312510082.jpg,"1名 5,450円～",,,,20時間前に予約されました,【アクセス】,金沢駅東口【3】バス乗り場より【18】花里 東部車庫行バスに乗車→「猿丸神社前」下車→徒歩約7分,5450.0,,,D（一般以下）
金沢・銭がめ温泉　銭がめ,https://www.jalan.net/yad306400/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=306400&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y306400/Y306400006.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y306400/Y306400015.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y306400/Y306400012.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y306400/Y306400010.jpg,"1名 13,860円～",,,,,【アクセス】,金沢駅から車で30分。北陸自動車道「森本I.C.」から約30分,13860.0,,,D（一般以下）
ビジネスホテル東楽,https://www.jalan.net/yad381840/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=381840&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y381840/Y381840042.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y381840/Y381840043.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y381840/Y381840048.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y381840/Y381840045.jpg,"1名 3,400円～",3.9,192件,朝食、接客高評価,7時間前に予約されました,【アクセス】,北陸自動車道～金沢西IC～野田専光寺線を金沢市内へ車で５分。,3400.0,3.9,,D（一般以下）
ペットと泊れる宿　ひがし茶屋街　夢見草,https://www.jalan.net/yad354555/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=354555&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y354555/Y354555023.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y354555/Y354555026.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y354555/Y354555024.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y354555/Y354555022.jpg,"1名 7,040円～",,,,,【アクセス】,金沢駅より車で約10分,7040.0,,,D（一般以下）
ホテルエコノ東金沢,https://www.jalan.net/yad375498/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=375498&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y375498/Y375498423.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y375498/Y375498453.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y375498/Y375498373.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y375498/Y375498410.jpg,"1名 3,150円～",3.6,"1,154件",朝食、接客高評価,3時間前に予約されました,【アクセス】,■北陸新幹線「金沢駅」から車5分■北陸自動車道「金沢東IC」から10分,3150.0,3.6,,D（一般以下）
群青の月,https://www.jalan.net/yad375767/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=375767&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y375767/Y375767038.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y375767/Y375767033.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y375767/Y375767037.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y375767/Y375767020.jpg,"1名 11,900円～",,,,,【アクセス】,金沢駅よりタクシーで約10分,11900.0,,,D（一般以下）
SHARIN Kanazawa Traveler’s Inn,https://www.jalan.net/yad388196/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388196&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y388196/Y388196018.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y388196/Y388196003.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y388196/Y388196040.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y388196/Y388196002.jpg,,,,,,【アクセス】,金沢駅東口から徒歩7分,,,,D（一般以下）
宿坊心泉,https://www.jalan.net/yad353402/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=353402&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y353402/Y353402040.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353402/Y353402007.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353402/Y353402010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y353402/Y353402002.jpg,,,,,,【アクセス】,金沢駅より車で12分。金沢駅東口バスターミナル6番から「小将町」もしくは「兼六園下・金沢城２・３」,,,,D（一般以下）
プチホテル　アイビー,https://www.jalan.net/yad310286/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=310286&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/3/00263/00263310.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y310286/Y310286007.jpg,https://cdn.jalan.jp/jalan/images/pictM/3/00263/00263311.jpg,https://cdn.jalan.jp/jalan/images/pictM/3/00263/00263309.jpg,"1名 12,000円～",,,,,【アクセス】,金沢駅よりタクシー約８分程。周遊バス、左回り片町下車又は西金沢駅行き、富本町下車、徒歩８分程,12000.0,,,D（一般以下）
金沢家,https://www.jalan.net/yad323863/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323863&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y3/Y323863/Y323863014.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y323863/Y323863009.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y323863/Y323863025.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y323863/Y323863041.jpg,"1名 3,300円～",,,,7時間前に予約されました,【アクセス】,車で来られる方は関東方面は森本ICで降りて山側環状線。関西方面は美川ICで降りて下さい。,3300.0,,,D（一般以下）
備長炭の湯　ホテルクラウンヒルズ金沢香林坊,https://www.jalan.net/yad355795/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=355795&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y355795/Y355795218.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355795/Y355795133.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355795/Y355795207.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y355795/Y355795130.jpg,"1名 3,087円～",3.5,36件,,46分前に予約されました,【アクセス】,ＪＲ「金沢駅」東口バス乗り場6・８・９・10番から香林坊下車徒歩２分,3087.0,3.5,,D（一般以下）
きくのや旅館,https://www.jalan.net/yad318942/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=318942&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y318942/Y318942001.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318942/Y318942008.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318942/Y318942005.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y318942/Y318942007.jpg,"1名 5,700円～",,,,,【アクセス】,金沢市役所の裏　,5700.0,,,D（一般以下）
ゲストルーム心音－金澤表参道－,https://www.jalan.net/yad345272/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=345272&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y345272/Y345272010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y345272/Y345272083.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y345272/Y345272124.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y345272/Y345272091.jpg,"1名 6,500円～",,,,,【アクセス】,金沢駅より徒歩9分、近江町市場まで徒歩3分（「此花離れ」は金沢駅より徒歩6分、近江町市場まで徒歩6分）,6500.0,,,D（一般以下）
ホテルリブマックス金沢駅前,https://www.jalan.net/yad338155/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=338155&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y338155/Y338155322.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y338155/Y338155170.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y338155/Y338155173.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y338155/Y338155284.jpg,"1名 2,720円～",3.8,14件,清潔感高評価,43分前に予約されました,【アクセス】,"JR北陸本線/北陸新幹線『金沢駅』西口より徒歩約10分, 小松空港よりリムジンバスで50分。",2720.0,3.8,,D（一般以下）
Ｒｉｖｅｒｓｉｄｅ旅音,https://www.jalan.net/yad309692/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=309692&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y309692/Y309692064.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y309692/Y309692037.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y309692/Y309692032.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y309692/Y309692027.jpg,"1名 7,000円～",,,,23時間前に予約されました,【アクセス】,金沢駅からバスにて「片町」下車、徒歩３分。(5分間隔で運行）,7000.0,,,D（一般以下）
Ｚａｉｍｏｋｕ旅音,https://www.jalan.net/yad346145/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=346145&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y346145/Y346145023.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y346145/Y346145004.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y346145/Y346145010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y346145/Y346145014.jpg,"1名 8,000円～",,,,,【アクセス】,金沢駅からバスで10分,8000.0,,,D（一般以下）
HOTEL 花 IchiRin KANAZAWA,https://www.jalan.net/yad372327/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=372327&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y372327/Y372327019.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y372327/Y372327012.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y372327/Y372327031.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y372327/Y372327097.jpg,"1名 2,500円～",,,,21時間前に予約されました,【アクセス】,JR金沢駅よりバスで10分（東口8、9番乗り場「有松」経由～野町バス停～徒歩2分）。金沢西I・C～車で13分,2500.0,,,D（一般以下）
